statusId | label
8|test
statusId|sensorName|value|timestamp
8|3-axis Accelerometer|[-3.371036,-1.8579005,-2.2505496]|1485609778734
8|3-axis Accelerometer|[-3.1986535,-1.9153614,-2.3750482]|1485609778743
8|3-axis Accelerometer|[-2.96881,-1.8483237,-2.3463178]|1485609778753
8|3-axis Accelerometer|[-2.681506,-1.5035586,-2.231396]|1485609778763
8|3-axis Accelerometer|[-2.327164,-1.3120226,-2.1643584]|1485609778773
8|3-axis Accelerometer|[-2.1164744,-1.4173675,-2.0590134]|1485609778783
8|3-axis Accelerometer|[-1.6472107,-1.934515,-1.7812861]|1485609778792
8|3-axis Accelerometer|[-1.0342951,-2.3558946,-1.7142484]|1485609778802
8|3-axis Accelerometer|[-0.37349546,-2.6240451,-1.8004397]|1485609778813
8|3-axis Accelerometer|[0.37349546,-2.6719291,-2.0685902]|1485609778823
8|3-axis Accelerometer|[0.8523358,-2.2984335,-2.3942018]|1485609778832
8|3-axis Accelerometer|[1.1971009,-2.0398598,-2.6048915]|1485609778842
8|3-axis Accelerometer|[1.484405,-1.9440918,-2.4516625]|1485609778853
8|3-axis Accelerometer|[1.9057846,-2.087744,-2.1164744]|1485609778862
8|3-axis Accelerometer|[2.1547816,-2.5953147,-1.6184803]|1485609778872
8|3-axis Accelerometer|[2.1260512,-3.8786068,-0.93852705]|1485609778883
8|3-axis Accelerometer|[1.8291701,-5.544971,-0.22026655]|1485609778893
8|3-axis Accelerometer|[1.5227122,-6.981492,-0.1436521]|1485609778902
8|3-axis Accelerometer|[1.7142484,-7.3549876,-1.1779473]|1485609778912
8|3-axis Accelerometer|[2.1452048,-7.374141,-2.4708161]|1485609778922
8|3-axis Accelerometer|[2.6240451,-7.4124484,-3.5913026]|1485609778931
8|3-axis Accelerometer|[3.0933087,-7.728483,-4.453215]|1485609778941
8|3-axis Accelerometer|[3.0262709,-8.236053,-5.1235914]|1485609778951
8|3-axis Accelerometer|[3.0550013,-8.829816,-5.046977]|1485609778961
8|3-axis Accelerometer|[3.0933087,-10.247183,-4.5777135]|1485609778971
8|3-axis Accelerometer|[2.6719291,-11.836933,-4.414908]|1485609778981
8|3-axis Accelerometer|[2.384625,-12.737153,-4.6830587]|1485609778991
8|3-axis Accelerometer|[2.336741,-13.273455,-5.2768207]|1485609779000
8|3-axis Accelerometer|[2.6144683,-13.158532,-6.339846]|1485609779010
8|3-axis Accelerometer|[2.96881,-12.98615,-7.07726]|1485609779020
8|3-axis Accelerometer|[3.5051112,-12.727576,-6.895301]|1485609779030
8|3-axis Accelerometer|[4.232949,-12.363658,-5.841852]|1485609779040
8|3-axis Accelerometer|[4.76925,-12.248735,-4.721366]|1485609779050
8|3-axis Accelerometer|[5.583278,-12.670115,-4.501099]|1485609779059
8|3-axis Accelerometer|[6.0046577,-12.98615,-4.654328]|1485609779069
8|3-axis Accelerometer|[6.3685765,-13.034034,-4.548983]|1485609779079
8|3-axis Accelerometer|[6.8665705,-12.842498,-4.462792]|1485609779089
8|3-axis Accelerometer|[7.1155677,-12.804191,-4.280833]|1485609779098
8|3-axis Accelerometer|[6.7708025,-12.612655,-4.012682]|1485609779109
8|3-axis Accelerometer|[6.349423,-12.229582,-4.2425256]|1485609779119
8|3-axis Accelerometer|[6.4643445,-12.066776,-4.3766007]|1485609779128
8|3-axis Accelerometer|[7.1155677,-12.191275,-3.9360676]|1485609779138
8|3-axis Accelerometer|[7.795521,-13.091495,-3.074155]|1485609779148
8|3-axis Accelerometer|[8.475474,-14.269443,-2.0015526]|1485609779158
8|3-axis Accelerometer|[9.193734,-14.662091,-1.091756]|1485609779167
8|3-axis Accelerometer|[10.850522,-14.662091,-0.91937345]|1485609779178
8|3-axis Accelerometer|[11.741165,-13.733141,-1.4460979]|1485609779188
8|3-axis Accelerometer|[12.11466,-12.6222315,-2.1068976]|1485609779197
8|3-axis Accelerometer|[12.976573,-12.229582,-2.585738]|1485609779207
8|3-axis Accelerometer|[12.852075,-12.26789,-2.9879637]|1485609779217
8|3-axis Accelerometer|[12.545617,-12.765883,-2.920926]|1485609779227
8|3-axis Accelerometer|[12.842498,-13.215993,-2.5953147]|1485609779236
8|3-axis Accelerometer|[13.388376,-13.254301,-2.4037786]|1485609779247
8|3-axis Accelerometer|[13.953407,-13.742718,-2.1739352]|1485609779257
8|3-axis Accelerometer|[14.78659,-15.275007,-1.2162545]|1485609779267
8|3-axis Accelerometer|[15.552734,-16.25184,-0.7469909]|1485609779276
8|3-axis Accelerometer|[16.127342,-15.849615,-0.48841715]|1485609779286
8|3-axis Accelerometer|[16.893488,-14.480132,0.009576807]|1485609779296
8|3-axis Accelerometer|[17.803284,-13.503298,0.94810385]|1485609779305
8|3-axis Accelerometer|[18.760965,-12.516887,1.3311762]|1485609779315
8|3-axis Accelerometer|[19.52711,-11.865664,1.0055647]|1485609779326
